darkness,rainy,throttle_position,average_speed,std_speed,relative_distance,relative_speed,relative_acc,time_of_max_a_to_conflict,max_a_before_conflict,quasi_time_head_way,normal_acc,normal_dec,Brake Duration,prediction,probability
0,0,0,0.0053019555683986,0.0048270503155512,0.0234741770644297,0.1999999999999999,0.4768197583614587,0.2222222222222222,0.3873626373626374,0.2995773421840664,0.1763316120226183,0.6258064516129033,0,0,0.15728469457738603
0,0,1,0.4453291158670406,0.5662839065405249,0.0910276421720665,0.0666666666666666,0.4615384615384616,0.8888888888888888,0.2252747252747253,0.0083681336887158,0.1763316120226183,0.5148478609013956,1,1,0.6044386842714197
0,0,0,0.0307847508147535,0.0050416838554975,0.0276473640981061,0.0,0.4615384615384616,0.3333333333333333,0.4478021978021978,0.0318923560245268,0.1763316120226183,0.8455044612216884,1,1,0.7105263836957779
0,0,1,0.0,0.0,0.0372978591134828,0.4333333333333333,0.5384615384615385,0.2222222222222222,0.7115384615384616,0.0408074742771581,0.2429197948412992,0.7750249696274032,0,0,0.11822564832612104
0,0,0,0.0,0.0,0.0219092319268011,0.0,0.4615384615384616,0.0,0.7032967032967034,0.0408074742771581,0.221288931836765,0.7750249696274032,0,0,0.20008975615198735
0,0,0,0.3517478262941214,0.5213214028002499,0.1523213348799447,0.1666666666666666,0.4923076923076923,0.1111111111111111,0.4423076923076923,0.0305081025754917,0.1763316120226183,0.7145733241821094,0,0,0.29202827452050334
0,0,0,0.535302421064298,0.0034623217493177,0.0268125633307166,0.3211076315289766,0.5151716093213508,0.0672820175160981,0.5049433342725709,0.0011157726328705,0.1763316120226183,0.8211399519139345,1,1,0.5
0,0,0,0.0163603772541608,0.0,0.0174752207035199,0.0,0.4768197583614587,0.2222222222222222,0.4313186813186813,0.0311640437757386,0.1763316120226183,0.6968199496682681,1,1,0.7470179921227583
0,0,0,0.1027430902337333,0.0096456045257163,0.0286906608565252,0.0,0.4768197583614587,0.0,0.2802197802197803,0.0077769121515403,0.1763316120226183,0.4527110501029513,1,1,0.7058657591537042
0,0,0,0.0095708130370336,0.0023459462656822,0.0271257157188966,0.3,0.6153846153846155,0.2222222222222222,0.4313186813186813,0.0408074742771581,0.1763316120226183,0.6968199496682681,0,1,0.5784154418724036
0,0,1,0.0197960439127749,0.0010851911390556,0.0307772543733634,0.4,0.6153846153846155,0.0,0.7945791322079983,0.0401627758293332,0.5463465398052478,0.7750249696274032,0,0,0.010208988208684391
0,0,0,0.0193597718977821,0.0008688759382416,0.0292123092357348,0.3,0.5384615384615385,0.0,0.6181318681318682,0.0395601485678995,0.1763316120226183,0.9986273164035688,0,0,0.3818542204129928
0,0,0,0.0424551450104313,0.000260650269759,0.0177360448931247,0.1333333333333333,0.4768197583614587,0.2222222222222222,0.6758241758241759,0.0127715122295185,0.1491860551549839,0.5769846716998399,0,0,0.17735690318408412
1,1,1,0.0037628804860771,0.0016758359781439,0.02895148504613,0.4333333333333333,0.5,0.0,0.7846663645632718,0.1517383607038435,0.4348472459674422,0.7750249696274032,0,0,0.005457847067405243
0,0,0,0.1744832838289982,0.0161553454256746,0.0320813753213873,0.3,0.4230769230769231,0.7777777777777777,0.0824175824175824,0.0065810101844439,0.1763316120226183,0.1331503088538091,0,1,0.8975241986313054
0,0,0,0.0687953280454084,0.0060963406989286,0.0310380785629682,0.2666666666666666,0.5769230769230771,0.0,0.4368131868131868,0.0134562404377421,0.1763316120226183,0.7056966369251887,0,1,0.6750879469764274
0,0,0,0.0,0.0,0.0263432431500823,0.3,0.5384615384615385,0.0,0.543956043956044,0.0408074742771581,0.1763316120226183,0.8787920384351406,0,1,0.707267900110186
0,1,0,0.0,0.0,0.0185580105475988,0.0252527782075419,0.4712510685413624,0.3052746908805089,0.5507938477129,0.0408074742771581,0.1763316120226183,0.8332209125086943,1,1,0.7420665250888713
0,0,1,0.0,0.0,0.0299947818045491,0.3666666666666666,0.5,0.0,0.6593406593406593,0.0408074742771581,0.1059243291459153,0.7750249696274032,0,0,0.19515491367288407
0,1,0,0.0,0.0,0.0344287930278303,0.4333333333333333,0.5,0.0,0.6458876175371021,0.0408074742771581,0.0706162194306102,0.7552047586364676,0,0,0.06282870830430086
0,0,0,0.0068168042234633,0.0,0.0263432431500823,0.3333333333333333,0.4768197583614587,0.0,0.6895604395604396,0.109877305176616,0.1852374934958745,0.7750249696274032,0,0,0.21764773847452554
0,0,0,0.0,0.0,0.0299947818045491,0.3666666666666666,0.5,0.1111111111111111,0.478021978021978,0.0408074742771581,0.1763316120226183,0.7722717913520933,1,1,0.7253413087506282
0,0,0,0.0490810924976085,0.0090295423571022,0.0237350012540345,0.2666666666666666,0.5384615384615385,0.1111111111111111,0.3241758241758242,0.0173073044303683,0.1763316120226183,0.5237245481583163,1,1,0.7344660265375386
0,0,0,0.063816917511141,0.0093892273782733,0.0214826288147566,0.2204566765975057,0.4887258590054701,0.2222222222222222,0.3417206035771286,0.0120231455861657,0.1763316120226183,0.552069140750458,1,1,0.715584745831115
0,0,0,0.014839547442094,0.0016239505468895,0.0283289095585671,0.3602174240749221,0.5384615384615385,0.0,0.4705805442622728,0.0378297923362756,0.1763316120226183,0.7011859180899082,1,1,0.7307323307865042
0,0,0,0.0763483584725544,0.0082884940837286,0.0211267593579868,0.1333333333333333,0.5,0.0,0.3708791208791209,0.006878225857851,0.1763316120226183,0.5991763898421414,1,1,0.7664954789465582
0,0,0,0.0,0.0,0.0245174738228488,0.3,0.5192307692307693,0.0,0.6181318681318682,0.0408074742771581,0.1763316120226183,0.9986273164035688,1,1,0.5
0,0,0,0.3948285906896434,0.0063130924220536,0.0299169823576863,0.1500953835393975,0.4615384615384616,0.100063589026265,0.4746812515532451,0.0015875528763655,0.1763316120226183,0.8494634095136577,1,1,0.6583161522707747
0,0,0,0.0027267295423601,0.0086886968238489,0.0242566496332441,0.2333333333333333,0.4615384615384616,0.6666666666666665,0.6785714285714286,0.0408074742771581,0.1563963428231621,0.7750249696274032,1,1,0.5265937685552976
0,0,0,0.0107462205036644,0.0005327107666046,0.051960746257156,0.563306846566137,0.4615384615384616,0.4444444444444445,0.695091726019968,0.0375214324398148,0.2686257133137099,0.7662476035186152,1,1,0.6023449515696198
0,0,0,0.0,0.0,0.0179968690827294,0.1999999999999999,0.4615384615384616,0.5555555555555556,0.7506797326384955,0.0421936075990633,0.3456478108971976,0.7750249696274032,0,0,0.21226099038609125
1,0,0,0.0,0.0,0.0320813753213873,0.0333333333333333,0.4615384615384616,0.7777777777777777,0.6317265209017786,0.0408074742771581,0.0334497881513416,0.7750249696274032,0,0,0.37883525152528763
