darkness,rainy,throttle_position,average_speed,std_speed,relative_distance,relative_speed,relative_acc,time_of_max_a_to_conflict,max_a_before_conflict,quasi_time_head_way,normal_acc,normal_dec,Brake Intensity,prediction,probability_0,probability_1,probability_2
0,0,1,0.0283963231550318,0.0204810610806875,0.0150425845435417,0.0580172369227332,0.4679539721787943,0.0,0.7170264827075495,0.0156914363286061,0.2573233517756753,0.7750249696274032,1,1,0.028187656938718893,0.9616629653473292,0.010149377713951777
1,0,0,0.0171381259498596,0.0052535835058231,0.0219598156470484,0.2314141380821269,0.5384615384615385,0.183052746017178,0.7396054686094325,0.0294631054973753,0.3165829098091014,0.7750249696274032,1,1,0.1112620891302559,0.8811712209174559,0.007566689952288247
0,0,1,0.0880968124816579,0.0051616369763256,0.0327752404494572,0.4,0.5321127014153577,0.0,0.8049713775296587,0.0098846268607026,0.4881386603595623,0.7950843204305404,1,1,1.8727805564376265e-05,0.9979106018717466,0.0020706703226890323
0,0,0,0.0634144955730645,0.003876341443589,0.0281057861553062,0.3585863422528306,0.5967377128911477,0.0,0.4291539798408665,0.0170466566226762,0.1763316120226183,0.6933227508680537,2,2,0.00936464788985873,4.1516775725533945e-06,0.9906312004325688
0,0,0,0.2522718814935702,0.0098481138073229,0.0300061345012096,0.3834240130030826,0.5000000000000001,0.0,0.34062944626272,0.0031350925822716,0.1763316120226183,0.5973910666397964,2,2,5.623130153936283e-08,2.8103045083591023e-08,0.9999999156656534
0,0,0,0.1616928249939075,0.0038361334449948,0.0219545201912365,0.2344510811578593,0.576923076923077,0.0,0.5199513363621232,0.0036878555822468,0.1763316120226183,0.8400110631102196,2,2,0.14409986570355499,0.0002618231781758944,0.855638311118269
0,0,0,0.0167421005429517,0.0013901764777597,0.0365153865446685,0.1,0.5000000000000001,0.2222222222222222,0.543956043956044,0.0495189884721948,0.1763316120226183,0.8787920384351406,0,0,0.9442963281718507,0.0008020329532572606,0.05490163887489187
0,0,0,0.0110432458119619,0.0179174605646461,0.031298902752573,0.1666666666666666,0.5,0.3333333333333333,0.4615384615384615,0.0408074742771581,0.1203449044822715,0.7456417295813316,0,2,0.24685008682989035,0.0007394230386340412,0.7524104901314755
0,0,0,0.0,0.0,0.0305164301837587,0.3666666666666666,0.5,0.0,0.6181318681318682,0.0408074742771581,0.1763316120226183,0.9986273164035688,0,0,0.9963740032022966,0.003467469499962585,0.00015852729774069947
0,0,1,0.0,0.0,0.0344287930278303,0.3666666666666666,0.5,0.0,0.6071428571428572,0.0408074742771581,0.1763316120226183,0.9631205673758866,0,0,0.980765281557976,0.01810819325387587,0.0011265251881482992
0,0,1,0.1749250136614767,0.5517761368962506,0.25639018653225,0.4,0.4615384615384616,0.1111111111111111,0.410813413390733,0.0408074742771581,0.1763316120226183,0.821551132463967,2,2,0.059603190433580915,0.004191708153866954,0.9362051014125521
