darkness,rainy,throttle_position,average_speed,std_speed,relative_distance,relative_speed,relative_acc,time_of_max_a_to_conflict,max_a_before_conflict,quasi_time_head_way,normal_acc,normal_dec,Brake Intensity,prediction,probability_0,probability_1,probability_2
0,0,1,0.0283963231550318,0.0204810610806875,0.0150425845435417,0.0580172369227332,0.4679539721787943,0.0,0.7170264827075495,0.0156914363286061,0.2573233517756753,0.7750249696274032,1,1,0.1771716439434086,0.81165850983167,0.011169846224921521
1,0,0,0.0171381259498596,0.0052535835058231,0.0219598156470484,0.2314141380821269,0.5384615384615385,0.183052746017178,0.7396054686094325,0.0294631054973753,0.3165829098091014,0.7750249696274032,1,1,0.10501167802830871,0.8872101686621539,0.007778153309537423
0,0,1,0.0880968124816579,0.0051616369763256,0.0327752404494572,0.4,0.5321127014153577,0.0,0.8049713775296587,0.0098846268607026,0.4881386603595623,0.7950843204305404,1,1,0.0059346588803878995,0.9937087880924337,0.0003565530271784244
0,0,0,0.0634144955730645,0.003876341443589,0.0281057861553062,0.3585863422528306,0.5967377128911477,0.0,0.4291539798408665,0.0170466566226762,0.1763316120226183,0.6933227508680537,2,2,0.11019433706200299,0.006368329162399763,0.8834373337755973
0,0,0,0.2522718814935702,0.0098481138073229,0.0300061345012096,0.3834240130030826,0.5000000000000001,0.0,0.34062944626272,0.0031350925822716,0.1763316120226183,0.5973910666397964,2,2,0.014966760048623701,0.00044887199036236714,0.984584367961014
0,0,0,0.1616928249939075,0.0038361334449948,0.0219545201912365,0.2344510811578593,0.576923076923077,0.0,0.5199513363621232,0.0036878555822468,0.1763316120226183,0.8400110631102196,2,0,0.5221117966888982,0.027596018161056106,0.45029218515004577
0,0,0,0.0167421005429517,0.0013901764777597,0.0365153865446685,0.1,0.5000000000000001,0.2222222222222222,0.543956043956044,0.0495189884721948,0.1763316120226183,0.8787920384351406,0,0,0.7743587489284874,0.06154143860427984,0.16409981246723274
0,0,0,0.0110432458119619,0.0179174605646461,0.031298902752573,0.1666666666666666,0.5,0.3333333333333333,0.4615384615384615,0.0408074742771581,0.1203449044822715,0.7456417295813316,0,2,0.4518079881004199,0.019616844280074174,0.528575167619506
0,0,0,0.0,0.0,0.0305164301837587,0.3666666666666666,0.5,0.0,0.6181318681318682,0.0408074742771581,0.1763316120226183,0.9986273164035688,0,0,0.8748561169612399,0.08728503251420854,0.037858850524551776
0,0,1,0.0,0.0,0.0344287930278303,0.3666666666666666,0.5,0.0,0.6071428571428572,0.0408074742771581,0.1763316120226183,0.9631205673758866,0,0,0.7662151752401221,0.20678304926615645,0.02700177549372159
0,0,1,0.1749250136614767,0.5517761368962506,0.25639018653225,0.4,0.4615384615384616,0.1111111111111111,0.410813413390733,0.0408074742771581,0.1763316120226183,0.821551132463967,2,2,0.2806487809947759,0.022196817251333396,0.6971544017538907
0,0,0,0.1285544600832113,0.0979292534002291,0.0561430760068596,0.0671645155840557,0.4503496779046483,0.943614696248796,0.3240116981591025,0.0154761695671055,0.1763316120226183,0.5696318749569899,2,2,0.0571935863379889,0.003969359573948643,0.9388370540880624
0,0,0,0.0061128848587614,0.0010883228040408,0.0310415279664579,0.3444934259767933,0.487122970026777,0.0,0.7054802720414063,0.0823320445933444,0.2270198056372538,0.7750249696274032,1,1,0.39313210353077244,0.5650463405346805,0.04182155593454702
0,0,1,0.2156841222557791,0.1416336475078892,0.1189358386105334,0.0666666666666666,0.4615384615384616,0.1111111111111111,0.1428571428571429,0.0082013196977599,0.1763316120226183,0.230793868679936,2,2,0.00013218777875608823,8.111822968113088e-06,0.9998597003982757
0,0,0,0.0,0.0,0.0224308803060106,0.1999999999999999,0.5384615384615384,0.0,0.6868131868131868,0.0408074742771581,0.1780272058276964,0.7750249696274032,0,0,0.5864459287407092,0.34316361469294654,0.0703904565663442
0,0,0,0.0093358562201855,0.014908658348355,0.0283994484361163,0.3333333333333333,0.5000000000000001,0.0,0.7179279816448124,0.0525188678284962,0.259689376043636,0.7750249696274032,1,1,0.2861667754663781,0.6813615150445425,0.032471709489079514
0,0,0,0.0110318206101171,0.0176169855830651,0.0280622563193688,0.3333333333333333,0.5000000000000001,0.0,0.7210849893355827,0.0434098643417311,0.2679750838817182,0.7750249696274032,1,1,0.2611353965834803,0.7088500278889368,0.030014575527583007
0,0,0,0.4757321335767848,0.0118892295340279,0.0354720897862494,0.3,0.4615384615384616,0.7777777777777777,0.3131868131868132,0.0018772104749589,0.1763316120226183,0.505971173644475,2,2,0.014472591174548553,0.0006840063386901959,0.9848434024867613
0,0,0,0.0226007478591833,0.0023136967996649,0.0134739560673723,0.1401516679736756,0.5227269200607485,0.2222222222222222,0.7196552187030145,0.0190320748923858,0.2642225869297582,0.8716884015027035,1,1,0.3912840715386396,0.5938309220432756,0.014885006418084896
1,0,0,0.0,0.0,0.0320813753213873,0.0333333333333333,0.4615384615384616,0.7777777777777777,0.6317265209017786,0.0408074742771581,0.0334497881513416,0.7750249696274032,0,0,0.8441466388605894,0.13640966438020688,0.01944369675920372
0,0,0,0.0399732407539086,0.0060058034454343,0.0174752207035199,0.041868456914244,0.4926033646885038,0.1111111111111111,0.47577859675357,0.0165710356711319,0.1763316120226183,0.7686474808590733,2,2,0.368050686034589,0.021939181553312953,0.610010132412098
0,0,0,0.0,0.0,0.0229525286852202,0.2333333333333333,0.4621749408983452,0.1111111111111111,0.6923076923076923,0.0408074742771581,0.2104735003344978,0.7750249696274032,0,1,0.4581689433304484,0.497965538293335,0.043865518376216515
