darkness,rainy,throttle_position,average_speed,std_speed,relative_distance,relative_speed,relative_acc,time_of_max_a_to_conflict,max_a_before_conflict,quasi_time_head_way,normal_acc,normal_dec,Brake Intensity,prediction,probability_0,probability_1,probability_2
1,0,0,0.0112776324812122,0.0154854761474067,0.0257881584471937,0.2221563445166591,0.6076467000499949,0.2222222222222222,0.4499198699772032,0.0403484283578262,0.1701144919103156,0.7268712317160874,1,1,0.075,0.925,0.0
0,0,0,0.0,0.0,0.0357329139758542,0.3666666666666666,0.4615384615384616,0.0,0.8791208791208791,0.0408074742771581,0.6827473426001635,0.7750249696274032,0,0,1.0,0.0,0.0
0,0,0,0.1649037300175247,0.0579406196532964,0.0964617712161484,0.6234283305163397,0.5270326890573152,0.0946027730827884,0.3145679215290344,0.0056279288834002,0.1763316120226183,0.5302932405927457,2,2,0.0,0.0,1.0
1,0,0,0.0095010379693841,0.0011145572996239,0.0283326119780375,0.2281896514103277,0.483428381094691,0.2222222222222222,0.4130513430980958,0.1961767845695003,0.2198138169106309,0.6354071326580488,1,1,0.07,0.87,0.06
0,0,0,0.2968758044706803,0.450725384843973,0.1553733278432871,0.0175674698737287,0.4412683039918516,1.0,0.3920777505765275,0.0213766129951396,0.1763316120226183,0.6334239861521863,1,1,0.04,0.77,0.19
0,0,0,0.0,0.0,0.010432967584191,0.1333333333333333,0.5,0.2222222222222222,0.5412087912087913,0.0408074742771581,0.1763316120226183,0.8743536948066803,0,0,1.0,0.0,0.0
0,0,1,0.1383248653311034,0.0591210524427633,0.0778423528904791,0.3634916897030807,0.4950288423566351,0.0,0.3287733467662231,0.0062152295086914,0.1763316120226183,0.5234227337805966,2,2,0.0,0.0,1.0
0,0,0,0.1764150043565108,0.016137835932618,0.0326454443609218,0.2930237392872091,0.4243730340959227,0.7855291785697676,0.0847174485866344,0.006507262443589,0.1763316120226183,0.1368658739280204,2,2,0.0,0.0,1.0
0,0,0,0.0221659266058573,0.0049966018755135,0.0380675720542152,0.4333333333333333,0.4385869754278397,0.6218598487640186,0.4040192934967008,0.0949556277672978,0.1421238144584006,0.7198341988501235,1,1,0.0,0.955,0.045
0,0,0,0.0040900943135402,0.0068964357572125,0.0182576932723342,0.1,0.4625331564986738,0.8888888888888888,0.4505494505494506,0.0408074742771581,0.1763316120226183,0.7278883550674903,0,1,0.315,0.68,0.005
1,0,0,0.0,0.0,0.0166927481347056,0.1666666666666666,0.4230769230769232,0.3333333333333333,0.6048204372946642,0.0408074742771581,0.1763316120226183,0.9771219400594828,0,0,1.0,0.0,0.0
0,0,0,0.5151491627162477,0.011776055253222,0.0238022763492201,0.2636243520224893,0.4447542192531139,0.8888888888888888,0.3445512866891034,0.0018882077499696,0.1551106784796073,0.5566422708953953,2,2,0.0,0.17,0.83
0,0,0,0.0642772739771551,0.0064387985993226,0.0188928765755291,0.150672270329291,0.4625514471467941,0.2222222222222222,0.343074152034966,0.0163292544516045,0.1763316120226183,0.5542558755456682,1,2,0.0,0.105,0.895
0,0,0,0.0063532725696974,0.0101248374268078,0.0239958254436393,0.3,0.5384615384615385,0.2222222222222222,0.576923076923077,0.0908202043148827,0.1763316120226183,0.9320521619766644,0,0,1.0,0.0,0.0
0,0,0,0.1451982352441646,0.0046725378465413,0.0294731334253396,0.1999999999999999,0.4695512820512821,0.0,0.5192307692307693,0.0056067503447897,0.1763316120226183,0.838846945778998,1,1,0.1,0.9,0.0
0,0,1,0.0563378105275489,0.0921499836829633,0.062363809203485,0.4687522520678127,0.4615384615384616,0.0,0.3144483217557752,0.0094831491429834,0.1763316120226183,0.5080092127455004,2,2,0.0,0.005,0.995
0,0,0,0.0463543727714668,0.0086886968238489,0.0299947818045491,0.3,0.5,0.2222222222222222,0.6593406593406593,0.0169519948009248,0.1059243291459153,0.9142987874628232,0,0,0.96,0.04,0.0
0,0,0,0.0627024638416212,0.0052331171813629,0.0273970278949369,0.3884421006412443,0.4748744992601027,0.2222222222222222,0.4296344723160733,0.0223219060512102,0.1763316120226183,0.6940990138886257,1,1,0.0,0.96,0.04
0,0,0,0.0342069053899359,0.0037968626401276,0.0297311367778109,0.134054339345776,0.4616251209149571,0.0,0.4947729005815378,0.0256968773977379,0.1763316120226183,0.7993338629024451,1,1,0.0,1.0,0.0
0,0,0,0.0249182522142177,0.0027172137896979,0.0279184664584853,0.3336617209083118,0.5380826297211788,0.0,0.4394251150103111,0.0357572125874348,0.1763316120226183,0.7099163560184885,1,1,0.0,1.0,0.0
0,0,0,0.0,0.0,0.0179968690827294,0.1999999999999999,0.576923076923077,0.1111111111111111,0.5164835164835165,0.0408074742771581,0.1763316120226183,0.8344086021505377,0,0,0.73,0.27,0.0
0,0,0,0.2613022688235634,0.2236086556561615,0.2193531597591278,0.0333333333333333,0.4615384615384616,0.0,0.1923076923076923,0.0043056416858229,0.1763316120226183,0.3106840539922215,2,2,0.0,0.005,0.995
0,0,0,0.2351147947850943,0.2731430314032665,0.2146810750585533,0.0180232825548303,0.4438730183324966,0.0,0.2200676744884944,0.0053792118311056,0.1763316120226183,0.3555318897661754,2,2,0.0,0.0,1.0
1,0,0,0.0,0.0,0.0310380785629682,0.0,0.4615384615384616,0.1111111111111111,0.554945054945055,0.0408074742771581,0.1763316120226183,0.8965454129489819,0,0,0.985,0.015,0.0
0,0,0,0.0296701125838656,0.0057264753113918,0.0246531744368683,0.2666666666666666,0.5441788591630222,0.0,0.4504566681278867,0.0298470688640066,0.1763316120226183,0.7277384597693627,1,1,0.005,0.995,0.0
