darkness,rainy,throttle_position,average_speed,std_speed,relative_distance,relative_speed,relative_acc,time_of_max_a_to_conflict,max_a_before_conflict,quasi_time_head_way,normal_acc,normal_dec,Brake Duration,prediction,probability
0,0,1,0.2088673180323159,0.0974671368160051,0.0860719907203317,0.0666666666666666,0.4615384615384616,0.0,0.2802197802197803,0.0024326739247313,0.1763316120226183,0.6036147334706017,1,1,0.7269925640015569
1,0,0,0.3244805603191755,0.5039440091525519,0.2086593679853321,0.1999999999999999,0.4615384615384616,0.0,0.4835164835164836,0.06461704498833,0.1763316120226183,0.7811484786090139,1,1,0.646795999613429
0,0,0,0.0024540546248804,0.0078198208856073,0.0096504950153766,0.1,0.5384615384615385,0.2222222222222222,0.4038461538461538,0.0408074742771581,0.1763316120226183,0.652436513383665,1,1,0.9493334697461384
0,0,0,0.0,0.0,0.0555555523858171,0.3666666666666666,0.4768197583614587,0.0,0.5521978021978022,0.0408074742771581,0.1763316120226183,0.854381148478609,1,1,0.5847644429958578
0,0,0,0.2708185527668322,0.0100417406757092,0.0279081882877109,0.3666666666666666,0.5,0.0,0.3461538461538461,0.0026557534917431,0.1763316120226183,0.6539159612598185,1,1,0.8268278325197307
0,0,0,0.0060593848040402,0.0024135095181338,0.0365153865446685,0.4666666666666667,0.576923076923077,0.0,0.7032967032967034,0.144511100294902,0.221288931836765,0.7750249696274032,0,0,0.0
0,0,0,0.0,0.0,0.0284298366669205,0.4,0.5000000000000001,0.2222222222222222,0.5631868131868132,0.0408074742771581,0.1763316120226183,0.9098604438343628,1,1,0.6408595450805947
1,0,0,0.0251404251775285,0.0010570296007594,0.0271257157188966,0.0333333333333333,0.4230769230769232,0.2222222222222222,0.5368471734451117,0.0335991449457676,0.1763316120226183,0.8673072523450012,1,1,0.7067956621661302
0,0,0,0.0062169351109575,0.0102301700608797,0.0346896172174351,0.5,0.5384615384615385,0.0,0.554945054945055,0.0408074742771581,0.1763316120226183,0.8965454129489819,1,0,0.3961793711028744
0,0,0,0.0,0.0,0.0091288466361671,0.0,0.4423076923076924,0.0,0.5384615384615385,0.0408074742771581,0.1763316120226183,0.86991535117822,1,1,0.8192252565875654
0,0,1,0.1004526425225844,0.1504012865773933,0.454616595084147,0.2333333333333333,0.5000000000000002,0.0,0.6642970431630225,0.0564737649920224,0.0966327213260982,0.7750249696274032,0,0,0.2033929421052581
0,0,0,0.0,0.0,0.0135628578594483,0.0333333333333333,0.4615384615384616,0.2222222222222222,0.6648351648351648,0.0408074742771581,0.1203449044822715,0.7750249696274032,1,1,0.702461192560873
0,0,0,0.0,0.0,0.0250391222020584,0.3333333333333333,0.5384615384615385,0.0,0.576923076923077,0.0408074742771581,0.1763316120226183,0.8610386639212995,1,1,0.8547973480962289
0,0,0,0.0,0.0,0.0224308803060106,0.2333333333333333,0.4768197583614587,0.1111111111111111,0.6208791208791209,0.0408074742771581,0.0049803017914219,0.7750249696274032,1,0,0.4796183779874621
0,0,0,0.0,0.0,0.0148669788074721,0.0,0.4230769230769231,0.7777777777777777,0.5412087912087913,0.0408074742771581,0.1763316120226183,0.883230382063601,1,1,0.5355718583050458
